Time executed,11:21:06,11:22:09,11:23:13,11:24:17,11:25:36,11:26:40,11:27:41,11:28:51,11:29:55,11:31:02,10:51:00,10:53:38,10:56:49,10:59:05,11:01:58,11:04:50,11:07:21,11:09:46,11:11:53,11:14:13,10:17:09,10:17:16,10:17:24,10:17:32,10:17:40,10:17:48,10:17:55,10:18:03,10:18:11,10:18:19,10:23:25,10:26:10,10:28:25,10:31:09,10:33:59,10:36:31,10:39:19,10:41:34,10:44:01,10:46:15,10:03:33,10:03:40,10:03:49,10:03:57,10:04:07,10:04:15,10:04:24,10:04:31,10:04:39,10:04:47,09:43:30,09:44:34,09:45:28,09:46:33,09:47:30,09:48:31,09:49:31,09:50:30,09:51:34,09:52:34
Source,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/
Destination,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/
2GB,5.08,6.21,5.18,5.82,5.68,5.12,6.05,6.32,4.62,5.15,76.98,98.43,68.39,88.93,100.59,61.2,71.97,60.92,72.02,62.95,1.43,1.57,1.54,1.52,1.73,1.59,1.73,1.71,1.65,1.62,85.62,64.19,78.08,87.51,74.42,95.85,72.05,68.28,71.67,71.6,1.41,1.73,1.72,1.69,1.77,1.74,1.69,1.7,1.77,1.71,1.62,2.88,3.48,2.17,3.16,3.32,3.45,3.58,4.03,3.71
1GB,30.01,26.97,27.26,47.72,27.18,27.64,32.07,27.38,32.14,43.27,31.93,39.13,32.27,32.05,29.59,32.34,29.64,30.92,29.61,29.61,2.44,2.37,2.44,2.37,2.32,2.15,2.34,2.36,2.31,2.3,29.72,29.3,31.96,29.46,29.42,26.79,29.29,37.71,29.29,44.69,2.86,2.81,2.99,2.84,2.85,2.84,2.81,2.3,2.21,2.3,14.52,25.5,26.17,21.98,30.02,25.11,26.85,29.67,25.31,25.84
512MB,13.71,13.13,15.35,10.79,14.69,13.03,17.53,13.81,14.04,21.45,24.75,34.19,15.94,28.65,15.93,24.31,16.13,13.52,20.33,15.99,1.63,1.64,1.6,1.67,1.55,1.59,1.66,1.63,1.64,1.62,16.19,21.68,16.66,27.13,24.64,15.93,16.04,16.04,15.98,15.87,1.42,1.54,1.55,1.54,1.52,1.59,1.51,1.61,1.58,1.67,18.61,14.01,15.31,14.25,13.3,15.7,13.87,14.57,14.68,22.03
256MB,6.97,8.6,6.99,6.32,7.08,6.67,5.04,6.79,6.8,14.02,8.28,8.61,5.59,8.07,19.13,23.12,7.99,8.07,8.05,15.09,0.82,0.81,0.83,0.84,0.67,0.81,0.78,0.81,0.86,0.79,15.3,8.02,24.63,8.08,8.15,8.1,5.5,5.57,5.54,7.99,0.68,0.86,0.8,0.76,0.75,0.77,0.76,0.83,0.83,0.79,8.25,4.71,7.75,8.41,6.91,6.81,7.51,6.91,6.96,7.65
128MB,3.42,3.77,3.84,3.39,3.55,4.23,2.91,3.4,3.56,6.41,4.2,4.4,6.79,4.08,4.09,4.08,4.07,4.09,4.1,4.12,0.41,0.41,0.39,0.41,0.34,0.42,0.4,0.37,0.37,0.39,4.14,4.13,6.59,12.66,4.15,4.08,6.66,13.33,6.49,4.08,0.32,0.39,0.37,0.42,0.36,0.37,0.35,0.39,0.4,0.44,10.72,3.23,3.8,3.92,3.34,3.28,3.74,3.42,3.49,3.97
64MB,1.7,1.74,1.71,1.97,1.95,1.45,2.44,1.71,2.19,1.08,3.49,0.94,0.81,3.36,0.87,3.35,11.91,7.85,3.33,0.85,0.19,0.21,0.18,0.19,0.15,0.21,0.21,0.22,0.24,0.2,11.5,3.27,3.37,3.38,3.41,11.92,0.82,3.36,0.8,5.57,0.16,0.19,0.17,0.16,0.18,0.17,0.17,0.2,0.23,0.17,4.87,1.13,1.84,1.84,1.65,1.89,1.38,1.75,1.92,1.76
32MB,0.94,0.78,0.85,0.61,0.8,1.01,1.56,0.9,0.59,0.75,0.5,0.51,0.46,0.5,0.48,0.46,0.46,0.48,0.47,0.47,0.09,0.09,0.09,0.09,0.08,0.09,0.08,0.1,0.07,0.1,0.48,0.46,0.46,0.47,0.48,3.06,0.47,0.51,0.46,0.46,0.07,0.12,0.06,0.06,0.06,0.07,0.07,0.09,0.09,0.09,1.15,1.02,1.15,1.19,0.83,0.8,1.03,0.83,0.78,0.87
16MB,0.42,0.37,0.4,0.38,0.39,0.57,1,0.4,0.29,0.34,0.31,0.31,0.29,3.22,0.3,0.29,0.29,0.29,0.29,2.84,0.02,0.04,0.04,0.04,0.04,0.03,0.02,0.03,0.03,0.03,0.29,0.29,0.29,0.29,0.29,0.33,0.29,0.28,2.84,0.29,0.03,0.01,0.02,0.03,0.01,0.03,0.03,0.03,0.04,0.05,0.61,0.51,0.63,0.59,0.42,0.3,0.55,0.4,0.37,0.43
8MB,0.18,0.18,0.18,0.18,0.18,0.28,0.88,0.18,0.13,0.15,3.11,0.21,0.2,2.86,0.2,0.19,0.19,0.2,0.2,0.21,0.01,0.01,0,0.01,0.01,0,0.01,0.01,0.01,0,0.19,0.2,0.2,0.19,5.28,0.21,0.21,0.19,0.21,0.2,0.01,0,0,0.01,0,0,0,0.02,0.01,0.02,2.9,0.25,0.42,0.23,0.25,0.12,0.27,0.17,0.18,0.2
4MB,0.08,0.06,0.11,0.08,0.06,0.13,0.62,0.08,0.09,0.08,3.61,0.15,3.93,0.15,0.15,0.15,0.15,0.16,0.16,0.16,0,0,0,0,0,0,0,0,0,0,0.15,0.16,0.16,0.15,0.15,0.15,0.16,0.15,0.15,0.16,0,0,0,0,0,0,0,0.01,0,0,0.17,0.13,0.21,0.11,0.13,0.06,0.12,0.06,0.12,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,As sources,Average Times,,,,Average Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,all,ext4,f2fs,fat,all,ext4,f2fs,fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2GB,27.5216666666667,40.8805,39.268,2.4165,32.7072222222222,36.169,37.659,0.8278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1GB,20.959,31.9365,17.0515,13.889,12.5136333333333,9.3658,14.7115,11.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,512MB,12.192,17.8635,10.1195,8.593,7.11606666666667,6.42435,8.4965,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256MB,6.198,9.364,5.245,3.985,3.77826666666667,3.974,4.443,3.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128MB,3.324,4.125,3.511,2.336,1.97706666666667,1.298,3.12,1.955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64MB,2.09883333333333,2.735,2.47,1.0915,1.76299444444444,1.88075,2.602,0.9115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32MB,0.536666666666667,0.679,0.4095,0.5215,0.341,0.2382,0.3215,0.4435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16MB,0.398,0.6495,0.29,0.2545,0.3154,0.5326,0.259,0.2265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8MB,0.371666666666667,0.5045,0.3575,0.253,0.440666666666667,0.544,0.49225,0.2831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4MB,0.215333333333333,0.508,0.077,0.061,0.250466666666667,0.66855,0.077,0.0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Complete,73.8151666666667,109.2455,78.799,33.401,9.35967611111111,61.09525,72.18175,26.1576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,From,ext4,ext4,f2fs,f2fs,fat,fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,To,f2fs,fat,ext4,fat,ext4,f2fs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2GB,5.523,76.238,1.609,76.927,1.693,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1GB,32.164,31.709,2.34,31.763,2.681,25.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,512MB,14.753,20.974,1.623,18.616,1.553,15.633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256MB,7.528,11.2,0.802,9.688,0.783,7.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128MB,3.848,4.402,0.391,6.631,0.381,4.291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64MB,1.794,3.676,0.2,4.74,0.18,2.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32MB,0.879,0.479,0.088,0.731,0.078,0.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16MB,0.456,0.843,0.032,0.548,0.028,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8MB,0.252,0.757,0.007,0.708,0.007,0.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4MB,0.139,0.877,0,0.154,0.001,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Complete,67.336,151.155,7.092,150.506,7.385,59.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,As destination,Average Times,,,,Average Deviations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,all,ext4,f2fs,fat,all,ext4,f2fs,fat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2GB,27.5216666666667,1.651,4.3315,76.5825,32.7072222222222,0.1368,1.043,19.866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1GB,20.959,2.5105,28.6305,31.736,12.5136333333333,0.3026,8.0712,5.6492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,512MB,12.192,1.588,15.193,19.795,7.11606666666667,0.074,3.9024,9.1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,256MB,6.198,0.7925,7.3575,10.444,3.77826666666667,0.0722000000000001,2.2398,8.8588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,128MB,3.324,0.386,4.0695,5.5165,1.97706666666667,0.046,1.8746,3.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,64MB,2.09883333333333,0.19,1.8985,4.208,1.76299444444444,0.034,0.8482,5.4356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,32MB,0.536666666666667,0.083,0.922,0.605,0.341,0.0224,0.3218,0.4808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16MB,0.398,0.03,0.4685,0.6955,0.3154,0.0152,0.2286,1.3332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8MB,0.371666666666667,0.007,0.3755,0.7325,0.440666666666667,0.0112,0.6114,1.8056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4MB,0.215333333333333,0.0005,0.13,0.5155,0.250466666666667,0.0018,0.1274,1.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Complete,73.8151666666667,7.2385,63.3765,150.8305,9.35967611111111,0.7162,19.2684,56.7414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
