Time executed,00:15:19,00:16:16,00:17:13,00:18:20,00:19:15,00:20:15,00:21:17,00:22:16,00:23:18,00:24:17,00:26:40,00:29:03,00:31:20,00:33:29,00:35:42,00:37:47,00:39:59,00:42:06,00:44:31,00:46:39,00:52:16,00:53:16,00:53:28,00:53:37,00:53:46,00:53:55,00:54:04,00:54:13,00:54:22,00:54:31,00:56:19,00:58:39,01:01:10,01:03:23,01:05:57,01:08:32,01:10:54,01:13:07,01:15:34,01:17:52,01:42:13,01:42:29,01:42:38,01:42:47,01:42:56,01:43:05,01:43:14,01:43:23,01:43:32,01:43:41,01:46:13,01:47:30,01:48:36,01:50:27,01:51:43,01:52:53,01:56:22,01:57:31,01:59:27,02:01:36
Source,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/
Destination,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,/media/aaron/fat/,files/,files/,files/,files/,files/,files/,files/,files/,files/,files/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/,/media/aaron/f2fs/
4MB,0,0,0,0,0,0,0,0,0,0,0.16,0.16,0.15,0.15,0.16,0.15,0.15,0.15,0.16,0.16,0.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.15,0.16,0.16,0.15,0.15,0.15,0.15,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8MB,0,0,0,0,0,0,0,0,0,0,0.21,0.21,0.21,0.21,0.19,0.21,0.22,0.2,0.19,0.21,0.37,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.20,0.21,0.27,0.21,2.87,0.20,0.21,0.20,0.21,0.21,0.03,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16MB,0.01,0,0,0,0,0,0,0,0,0,0.32,0.34,0.33,0.31,0.29,0.31,0.32,0.29,0.29,0.29,3.27,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.29,0.30,2.78,0.31,0.31,0.30,0.30,0.30,2.95,0.29,0.06,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.00,0.11,0.01,0.00,0.01,0.01,0.00,0.01,0.01,0.00
32MB,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.47,0.53,0.56,0.53,0.53,0.53,3.26,0.47,0.47,0.49,1.30,0.05,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.48,0.50,0.50,0.49,0.51,0.49,3.27,3.27,0.51,0.49,0.12,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.01,0.23,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02
64MB,0.03,0.02,0.02,0.03,0.03,0.02,0.03,0.02,0.03,0.03,3.37,0.99,3.73,0.97,0.94,3.62,0.84,3.5,0.84,3.55,5.10,0.10,0.04,0.06,0.04,0.07,0.05,0.05,0.05,0.05,0.90,3.63,0.88,3.54,0.87,3.64,0.86,0.89,0.84,0.85,0.26,0.05,0.05,0.05,0.06,0.05,0.05,0.05,0.05,0.06,0.03,0.24,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03
128MB,0.06,0.05,0.05,0.05,0.05,0.06,0.05,0.06,0.05,0.05,4.07,4.39,1.66,1.64,1.47,1.65,1.62,1.63,1.64,1.56,10.42,0.31,0.11,0.10,0.11,0.11,0.11,0.11,0.12,0.11,4.24,1.61,4.31,4.38,4.38,4.25,1.66,4.26,4.43,4.28,0.48,0.11,0.11,0.10,0.10,0.09,0.10,0.10,0.10,0.09,0.05,0.08,0.07,0.06,0.06,0.07,0.06,0.06,0.05,0.07
256MB,0.14,0.1,0.1,0.11,0.1,0.12,0.1,0.11,0.1,0.1,17.88,8.47,5.89,8.34,8.29,8.43,5.74,8.35,5.73,8.27,10.62,0.67,0.20,0.21,0.22,0.20,0.22,0.22,0.21,0.24,9.89,11.20,8.46,8.51,11.08,8.40,8.31,8.40,8.32,8.37,0.99,0.21,0.21,0.21,0.21,0.23,0.22,0.20,0.21,0.22,0.11,0.13,0.14,0.12,0.14,0.14,0.11,0.11,0.11,0.13
512MB,0.26,0.21,0.24,0.21,0.2,0.22,0.2,0.22,0.21,0.23,16.06,16.45,16.35,16.38,16.32,16.18,16.35,18.88,18.91,16.22,3.19,1.40,0.44,0.43,0.43,0.43,0.41,0.43,0.41,0.43,19.11,17.17,19.17,16.53,24.76,23.12,16.35,21.96,19.07,21.97,2.09,0.44,0.45,0.40,0.43,0.44,0.40,0.41,0.42,0.43,0.20,0.26,0.24,0.24,0.24,0.26,0.20,0.22,0.23,0.25
1GB,4.49,2.76,2.7,1.68,3.27,2.9,3.11,4.09,3.38,3.03,29.35,32.41,32.02,31.8,34.86,31.89,40.19,29.47,35.05,32.07,9.66,3.26,1.12,1.15,1.04,1.03,1.00,1.05,1.02,1.02,43.38,30.45,29.86,29.88,40.94,40.96,32.35,29.75,29.42,29.80,4.09,1.19,1.17,1.29,1.22,1.17,1.24,1.17,1.19,1.19,7.01,8.39,18.47,12.81,9.40,71.89,9.06,8.53,19.24,7.79
2GB,50.62,51.69,56.2,49.99,53.03,56.11,54.77,56.22,53.56,57.09,67.75,71.62,58.41,60.94,60.93,67.71,57.05,71.19,63.07,70.96,14.88,4.85,6.42,6.26,6.14,5.84,5.87,5.86,5.84,5.83,60.12,83.75,65.53,88.46,68.00,59.59,67.50,76.65,67.79,71.83,7.29,5.83,5.90,5.78,5.90,6.23,6.00,6.08,6.07,5.94,67.47,55.72,81.91,59.63,56.45,135.32,56.51,106.66,107.34,55.46
