#KEY,FIRST_PAGE,LAST_PAGE
journals/jlp/Doberkat14,339,358
journals/tit/Nakagawa07,3239,3249
journals/tit/Breiman93,999,1013
conf/icsai/DingLZTZ16,13,18
journals/ijmms/BatraS92,395,417
journals/complexity/PajaresBHR18,1,22
conf/dagm/SchindlerG08,122,131
conf/icassp/DericheKN03,585,588
journals/tnn/ZhaoZZCA16,736,748
journals/giq/Quinn11,290,291
journals/tcs/ShiW15,52,64
conf/apn/DedovaP12,109,124
conf/iccsa/SantiagoSNV11,374,386
conf/mass/LiYYZ18,469,474
journals/cse/IvanovaKMK13,32,42
journals/jcst/YuC97,134,145
conf/iccp/FyffeD15,1,10
journals/cphysics/WarrenGG16,163,170
conf/icee/Zheng10a,3695,3698
journals/pr/AliDGGB16,425,442
conf/ijcai/VassosL07,2029,2024
conf/eacl/BuchseF12,11,20
conf/edbt/ZhangTY19,634,637
conf/eccv/YuTRW18,583,590
journals/caee/RieraGVM02,161,166
conf/icvs/ThonatMC99,200,215
journals/tii/BehboodLZ14,1637,1646
conf/iolts/KarimiASN08,173,174
conf/ispa/YangC10,275,282
conf/date/ChenD13,3,8
journals/jsc/BachS18,55,71
conf/ifip8-2/Cecez-Kecmanovic16,35,57
journals/siamnum/GongLTZZ17,2982,3005
journals/iee/BenediktssonD03,351,358
conf/isie/ImanishiYWN17,1535,1540
conf/ijcai/JiaZ05,1525,1516
conf/ccc/Charles91,311,316
journals/hmd/Theuner00,69,73
conf/kes/FujitaNSKM98,417,422
conf/iccad/GlaserVKW94,36,39
journals/dm/AlbertsonB94,15,21
journals/ieeemm/HirayuOK00,61,64
conf/case/ZhangWZ18,1428,1433
conf/pam/KarbhariADRRZ04,22,32
conf/compsac/BakkalbasiGPGM89,783,785
conf/globecom/Wylie-GreenW07,5335,5340
journals/icl/JoungJMY13,111,114
journals/mst/Ura69,1,16
journals/cacm/Ellenberger60a,644,647
journals/scjapan/ToyotaS00,63,76
journals/jco/SunMT15,565,588
journals/tac/KajiyamaHT18,2248,2255
journals/ijcm/ChawlaE05,601,607
conf/icuwb/RehmanBO15,1,5
conf/ncma/Okubo12,149,163
journals/iet-sen/GatouillatBM19,49,59
conf/bibm/LiuLAS15,83,90
conf/ppsc/Celmaster87,131,136
conf/eee/SteeleGRD05,385,390
conf/icip/ChiangA94,248,252
journals/kybernetika/Prouza71a,450,457
journals/tnn/DingCPH15,2521,2534
conf/hci/KobayashiSY13,62,71
conf/ihc/NetoBLF06,37,40
journals/ipl/MitsuhashiOY06,219,224
journals/siamjo/DiehlJV06,1201,1210
conf/annes/WangKT93,202,205
conf/ic-nc/IkegayaTMN10,63,70
conf/icapr/Saha09,43,46
conf/sigsoft/Robillard16,920,923
conf/mixdes/Masana15,204,209
conf/afips/SanthanamP82,595,603
conf/is/CoceaM10,13,18
journals/dm/Erdos94,54,74
conf/fgcs/Wegner92,225,229
journals/ism/ZawackiL98,1,4
journals/ieicet/ChenC09,2922,2926
phd/dnb/Salmen13,1,593
conf/slp/NadathurJ89,1180,1198
conf/nlmua/Chen11,471,478
conf/oopsla/LanguedocMT09,613,617
journals/tcas/MakUM05,1302,1315
journals/cga/BrysonL92,25,34
journals/bioinformatics/LancasterNLK14,2501,2502
journals/ijcv/PenneRM15,81,91
conf/imecs/MonwarR06,126,130
books/sp/Juneau17,1,584
conf/icaisc/Rafajlowicz06,113,122
conf/hicss/StieglitzVR18,1,1
conf/icdsp/Majumdar15,1233,1237
conf/automation/Kaczorek16,141,154
journals/neco/Kamimura97,1357,1380
journals/siammax/EldenS09,248,271
journals/jnw/ZhuQ10,841,848
conf/lats/OffuttADKLPRSWW17,177,180
conf/pdcat/ParkCKW04,519,526
journals/cars/WangZYZL15,1461,1468
conf/iscas/EguchiZUT03,300,303
journals/ci/ORorke94,295,33
conf/latice/MoudgalyaEGMR16,187,194
conf/fct/Selivanov01,323,334
conf/swarm/LiuTKYWW17,386,393
conf/lssc/Csomos05,332,339
conf/apchi/GhoshJ13,83,92
journals/aeog/RaoR08,123,123
conf/ecctd/SaleemMAKB11,805,808
journals/siamnum/GeorgoulisLMV16,120,136
conf/vtc/LeeK0SPL13c,1,5
conf/ddep/Bruggemann-KleinW00,176,189
books/daglib/0022356,1,515
journals/comcom/Popescu-Zeletin03,1,1
books/sp/Buttazzo11,1,521
conf/atal/BocchiC03,146,163
series/shti/PagliaRB11,26,30
conf/ised/KunduRM17,1,5
conf/ifip/LehnerS94,168,173
conf/icip/NodaTN07,385,388
conf/auic/RaijmakersSM13,139,130
conf/softcom/MonshizadehKVK18,1,6
conf/dasfaa/NguyenLN12,243,257
conf/cdc/GuptaHBK13,2227,2232
conf/async/AkgunRS10,41,51
journals/jcise/JacksonCPS02,1,10
books/daglib/0076177,1,750
journals/tc/LeeK18,861,873
journals/gandc/SteinerS12,174,182
conf/iccve/SharmaNJRRS15,291,296
journals/ijnsec/KurianS09,186,200
conf/persuasive/SraS13,216,221
conf/cifer/PaiM11,59,66
journals/csl/Bannard05,467,478
conf/sltu/BoonkwanSTW16,238,243
conf/wpnc/AdlerPWHS12,114,119
journals/ijitpm/TaylorW10,1,19
conf/gamesem/ChristelSCBBMHB13,36,39
conf/semweb/GueretGHS10,289,304
conf/assets/BesshoKKS08,283,284
journals/eswa/GhaemiF14,6676,6687
conf/micai/Castanon-PugaCFGMP13,205,216
conf/hucc/WangL18,440,451
conf/miar/AkbariKKT08,142,149
journals/ecoi/PaudelM14,35,46
conf/nds/WagnerKVK15,1,5
journals/tsmc/ChaoWL13,128,138
journals/trob/SimeonLL02,42,49
conf/adcs/PetriC12,9,16
conf/ipps/JinF18,28,36
conf/dft/ChoiCJOK14,222,227
journals/bell/Arora06,203,207
conf/csreaSAM/Williams06a,426,434
