# OLD_NAME, NEW_NAME
Bamshad Mobasherm,Bamshad Mobasher
Carole Delporte-Gellet,Carole Delporte-Gallet
Ronald Presott Loui,Ronald Prescott Loui
Eve Riskin,Eve A. Riskin
Doouglas W. Clark,Douglas W. Clark
P. R. S. Visser,Pepijn R. S. Visser
Pepijn Visser,Pepijn R. S. Visser
A. Pietracaprina,Andrea Pietracaprina
M. R. Swanson,Mark R. Swanson
Matilde Celma-Giménez,Matilde Celma
Vwani Roychowdhury,Vwani P. Roychowdhury
Smadar Kedar-Cabelli,Smadar T. Kedar-Cabelli
J. F. H. Winkler,Jürgen F. H. Winkler
Aravind Srinivasan Improving the Discrepancy Bound for Sparse Matrices,Aravind Srinivasan
Jö Hartroth,Jörn Hartroth
P. Mertens,Peter Mertens
Christoph v. d. Malsburg,Christoph von der Malsburg
David M. Chickering,David Maxwell Chickering
Nicolò Cesa Bianchi,Nicolò Cesa-Bianchi
P. Schefe,Peter Schefe
M. Reinfrank,Michael Reinfrank
Michael V. Manino,Michael V. Mannino
K. Antreich,Kurt Antreich
Mandayam Srivas,Mandayam K. Srivas
M. T. Maybury,Mark T. Maybury
Sunil Khatri,Sunil P. Khatri
M. Khaira,Manpreet Khaira
Edward A. Fox Harry Wu,Edward A. Fox
S. Tahar,Sofiène Tahar
B. Carpentieri,Bruno Carpentieri
F. Bergadano,Francesco Bergadano
Brain Garner,Brian Garner
T. Peters,T. J. Peters
Craig Wittenbrink,Craig M. Wittenbrink
Robert Godin. Rokia Missaoui,Robert Godin
Ernest D. Dickmanns,Ernst D. Dickmanns
S. Walker,Steve Walker
Lászlá Lovász,László Lovász
Joseph F. JáJá,Joseph JáJá
Shari Goldwasser,Shafi Goldwasser
A. Schwill,Andreas Schwill
Márió Szegedy,Mario Szegedy
Rusisn Freivalds,Rusins Freivalds
Norman Kerth,Norman L. Kerth
Norm Kerth,Norman L. Kerth
R. Miller,Renée J. Miller
R. J. Miller,Renée J. Miller
Stephen Robertson,Stephen E. Robertson
S. E. Robertson,Stephen E. Robertson
C. Tsatsoulis,Costas Tsatsoulis
Veljko Milutinovic,Veljko M. Milutinovic
Eduard D. Lazowska,Edward D. Lazowska
Eugene J. Shikita,Eugene J. Shekita
Ziza Arnavut,Ziya Arnavut
Jana Köhler,Jana Koehler
Ramon Lï¿½pez de Mantaras,Ramon López de Mántaras
Ade Ola,Adegbemiga Ola
C.Siva Ram Murthy,C. Siva Ram Murthy
J. M. Goethals,Jean-Marie Goethals
J.-M. Goethals,Jean-Marie Goethals
Agnes Hue Chan,Agnes Hui Chan
Jean-Jaques Quisquater,Jean-Jacques Quisquater
L. E. Peppard,Lloyd E. Peppard
John Campbell,John A. Campbell
Mararu Kitsuregawa,Masaru Kitsuregawa
Lia M. Noack,Lisa M. Noack
Patrick Valdiriez,Patrick Valduriez
Christoper D. Rosin,Christopher D. Rosin
Nguyen Ngoc Bình,Nguyen-Ngoc Bình
Jeffrey Ullman,Jeffrey D. Ullman
H. Bense,Hermann Bense
Partho P. Mishra,Partho Pratim Mishra
Laveen Kanal,Laveen N. Kanal
Alfred Bruckstein,Alfred M. Bruckstein
M. Colajanni,Michele Colajanni
Saied Hosseini Khayat,Saied Hosseini-Khayat
R. McConnell,Ross M. McConnell
J. Cuellar,Jorge Cuéllar
Wolf-Frtz Riekert,Wolf-Fritz Riekert
Donanld F. Towsley,Donald F. Towsley
Davin L. Dill,David L. Dill
Miguel Valero-Garcia,Miguel Valero-García
Michael Browne,Michael C. Browne
Frederik Dahlgren,Fredrik Dahlgren
A. W. Mostowski,Andrzej Wlodzimierz Mostowski
A. Wlodzimierz Mostowski,Andrzej Wlodzimierz Mostowski
Ludec Kucera,Ludek Kucera
Donald Thomas,Donald E. Thomas
K. L. McMillan,Kenneth L. McMillan
Jean-Christophe Madre,Jean Christophe Madre
Matton Kamon,Mattan Kamon
Ron Collett,Ronald Collett
A. Saldanha,Alexander Saldanha
Y. Tonomura,Yoshinobu Tonomura
Kang G. Shin Greg Dykema,Kang G. Shin
Michel J. Fischer,Michael J. Fischer
Stefano Crespi Reghizzi,Stefano Crespi-Reghizzi
Ph. Kruchten,Phillippe Kruchten
J. S. Roychowdhury,Jaijeet S. Roychowdhury
Jaijeet Roychowdhury,Jaijeet S. Roychowdhury
M. A. Perkowski,Marek A. Perkowski
Geoff Voelker,Geoffrey M. Voelker
Robert Micheal Owens,Robert Michael Owens
Michael Reiter,Michael K. Reiter
H. Gomaa,Hassan Gomaa
Ruy Luiz Milidú,Ruy Luiz Milidiú
Tsipora Barzilai,Tsipora P. Barzilai
E. Korach,Ephraim Korach
Ghassen Qadah,Ghassan Z. Qadah
Tohru Mto-oka,Tohru Moto-Oka
Albert L. Sangiovanni-Vincentelli,Alberto L. Sangiovanni-Vincentelli
Jean-Michel Helary,Jean-Michel Hélary
Babu O.Narayanan,Babu O. Narayanan
Pey-Jyun Leu,Pei-Jyun Leu
Pei-Jyun Lee,Pei-Jyun Leu
J. D. P. Rolim,José D. P. Rolim
Jose D. P. Rolim,José D. P. Rolim
Pavel Pudlak,Pavel Pudlák
W. A. Burkhard,Walter A. Burkhard
A. C. Yao,Andrew Chi-Chih Yao
A. Cau,Antonio Cau
Andries Ambainis,Andris Ambainis
M. R. Chandra Kintala,Chandra M. R. Kintala
Jin-Yi Cai,Jin-yi Cai
K.W. Regan,Kenneth W. Regan
Jacobo Toran,Jacobo Torán
C.P. Schnorr,Claus-Peter Schnorr
A. E. Andreev,Alexander E. Andreev
Farid Ablayev,Farid M. Ablayev
Chih-Wei David Chang,David Chih-Wei Chang
Maarte de Rijke,Maarten de Rijke
P. McKenzie,Pierre McKenzie
M. Mauny,Michel Mauny
Will Evans,William S. Evans
William Evans,William S. Evans
Craig Nevill,Craig G. Nevill-Manning
Craig G. Nevill,Craig G. Nevill-Manning
